date	index
2.9.2022	402.69
5.9.2022	406.29
6.9.2022	404.35
7.9.2022	409.39
8.9.2022	413.67
9.9.2022	417.78
12.9.2022	419.10
13.9.2022	407.43
14.9.2022	407.63
15.9.2022	403.33
16.9.2022	396.64
19.9.2022	398.56
20.9.2022	394.33
21.9.2022	393.52
22.9.2022	388.31
23.9.2022	385.90
26.9.2022	383.66
27.9.2022	385.43
28.9.2022	391.72
29.9.2022	380.08
30.9.2022	376.24
3.10.2022	382.94
4.10.2022	392.28
5.10.2022	395.19
6.10.2022	393.31
7.10.2022	383.93
10.10.2022	382.64
11.10.2022	376.14
12.10.2022	376.37
13.10.2022	381.54
14.10.2022	374.44
17.10.2022	382.43
18.10.2022	386.57
19.10.2022	385.95
20.10.2022	383.76
21.10.2022	391.17
24.10.2022	391.87
25.10.2022	396.93
26.10.2022	392.81
27.10.2022	393.12
28.10.2022	401.52
31.10.2022	401.71
1.11.2022	402.24
2.11.2022	391.84
3.11.2022	389.88
4.11.2022	387.67
7.11.2022	387.31
8.11.2022	389.43
9.11.2022	383.90
10.11.2022	401.99
11.11.2022	406.02
14.11.2022	401.70
15.11.2022	405.29
16.11.2022	397.96
17.11.2022	396.97
18.11.2022	397.24
21.11.2022	397.83
22.11.2022	400.53
23.11.2022	401.09
24.11.2022	401.36
25.11.2022	401.05
28.11.2022	395.70
29.11.2022	395.75
30.11.2022	408.59
1.12.2022	406.12
2.12.2022	403.78
5.12.2022	393.91
6.12.2022	388.83
7.12.2022	387.26
8.12.2022	389.75
9.12.2022	389.41
12.12.2022	394.16
13.12.2022	394.10
14.12.2022	392.24
15.12.2022	379.45
16.12.2022	377.09
19.12.2022	374.04
20.12.2022	373.39
21.12.2022	378.37
22.12.2022	373.96
23.12.2022	373.72
27.12.2022	370.72
28.12.2022	368.48
29.12.2022	374.29
30.12.2022	373.01
2.1.2023	373.47
3.1.2023	378.50
4.1.2023	381.44
5.1.2023	379.12
6.1.2023	383.69
9.1.2023	382.65
10.1.2023	384.75
11.1.2023	388.67
12.1.2023	389.64
13.1.2023	390.99
16.1.2023	391.23
17.1.2023	392.21
18.1.2023	388.25
19.1.2023	385.25
20.1.2023	391.17
23.1.2023	396.72
24.1.2023	395.88
25.1.2023	395.04
26.1.2023	401.80
27.1.2023	404.69
30.1.2023	398.81
31.1.2023	404.00
1.2.2023	407.56
2.2.2023	417.70
3.2.2023	415.59
6.2.2023	414.57
7.2.2023	420.89
8.2.2023	417.82
9.2.2023	414.76
10.2.2023	415.31
13.2.2023	417.54
14.2.2023	422.02
15.2.2023	426.59
16.2.2023	421.02
17.2.2023	417.24
20.2.2023	416.65
21.2.2023	408.62
22.2.2023	410.45
23.2.2023	413.31
24.2.2023	409.66
27.2.2023	408.98
28.2.2023	408.73
1.3.2023	404.82
2.3.2023	409.73
3.3.2023	417.24
6.3.2023	414.50
7.3.2023	413.04
8.3.2023	414.99
9.3.2023	408.05
10.3.2023	397.16
13.3.2023	393.44
14.3.2023	399.54
15.3.2023	402.38
16.3.2023	407.90
17.3.2023	403.51
20.3.2023	403.78
21.3.2023	408.21
22.3.2023	401.66
23.3.2023	401.84
24.3.2023	405.01
27.3.2023	405.98
28.3.2023	402.83
29.3.2023	409.00
30.3.2023	409.01
31.3.2023	417.01
3.4.2023	415.96
4.4.2023	411.65
5.4.2023	409.09
11.4.2023	411.78
12.4.2023	407.97
13.4.2023	410.43
14.4.2023	410.53
17.4.2023	415.09
18.4.2023	414.53
19.4.2023	412.10
20.4.2023	408.09
21.4.2023	408.49
24.4.2023	405.44
25.4.2023	400.13
26.4.2023	396.74
27.4.2023	403.86
28.4.2023	405.09
2.5.2023	401.10
3.5.2023	397.90
4.5.2023	397.65
5.5.2023	404.08
8.5.2023	405.69
9.5.2023	407.22
10.5.2023	408.58
11.5.2023	409.32
12.5.2023	410.32
15.5.2023	413.66
16.5.2023	411.88
17.5.2023	418.79
18.5.2023	427.84
19.5.2023	426.79
22.5.2023	428.63
23.5.2023	425.20
24.5.2023	422.31
25.5.2023	428.99
26.5.2023	439.51
29.5.2023	439.28
30.5.2023	440.67
31.5.2023	440.35
1.6.2023	442.08
2.6.2023	448.48
5.6.2023	449.14
6.6.2023	452.03
7.6.2023	447.18
8.6.2023	447.21
9.6.2023	449.81
12.6.2023	455.99
13.6.2023	458.44
14.6.2023	457.64
15.6.2023	460.30
16.6.2023	458.12
19.6.2023	455.11
20.6.2023	450.42
21.6.2023	440.67
22.6.2023	439.68
23.6.2023	438.22
26.6.2023	434.36
27.6.2023	435.32
28.6.2023	439.84
29.6.2023	444.65
30.6.2023	447.71
3.7.2023	454.50
4.7.2023	457.47
5.7.2023	453.53
6.7.2023	446.99
7.7.2023	443.09
10.7.2023	449.43
11.7.2023	457.45
12.7.2023	459.03
13.7.2023	467.03
14.7.2023	465.35
17.7.2023	470.95
18.7.2023	470.77
19.7.2023	472.73
20.7.2023	466.21
21.7.2023	468.84
24.7.2023	468.98
25.7.2023	467.94
26.7.2023	462.45
27.7.2023	467.20
28.7.2023	474.81
31.7.2023	478.20
1.8.2023	480.27
2.8.2023	463.03
3.8.2023	460.42
4.8.2023	456.02
7.8.2023	458.84
8.8.2023	450.81
9.8.2023	444.91
10.8.2023	435.64
11.8.2023	436.18
14.8.2023	440.66
15.8.2023	437.82
16.8.2023	433.64
17.8.2023	431.43
18.8.2023	429.19
21.8.2023	430.83
22.8.2023	433.59
23.8.2023	441.03
24.8.2023	440.39
25.8.2023	435.75
28.8.2023	436.72
29.8.2023	445.57
30.8.2023	443.91
31.8.2023	447.62
1.9.2023	453.22
4.9.2023	456.54
5.9.2023	461.26
6.9.2023	459.83
7.9.2023	454.29
8.9.2023	451.86
11.9.2023	448.45
12.9.2023	446.95
13.9.2023	443.58
14.9.2023	454.47
15.9.2023	452.29
18.9.2023	448.17
19.9.2023	444.45
20.9.2023	439.50
21.9.2023	435.23
22.9.2023	438.39
25.9.2023	442.10
26.9.2023	434.00
27.9.2023	439.14
28.9.2023	438.79
29.9.2023	439.94
2.10.2023	445.70
3.10.2023	439.69
4.10.2023	436.41
5.10.2023	437.69
6.10.2023	443.91
9.10.2023	443.18
10.10.2023	445.33
11.10.2023	443.99
12.10.2023	448.21
13.10.2023	445.05
16.10.2023	441.80
17.10.2023	441.53
18.10.2023	433.80
19.10.2023	429.30
20.10.2023	425.03
23.10.2023	419.91
24.10.2023	430.87
25.10.2023	425.60
26.10.2023	418.10
27.10.2023	418.39
30.10.2023	421.72
31.10.2023	421.43
1.11.2023	425.70
2.11.2023	438.89
3.11.2023	445.70
6.11.2023	446.93
7.11.2023	452.33
8.11.2023	451.12
9.11.2023	449.27
10.11.2023	453.30
13.11.2023	454.62
14.11.2023	460.32
15.11.2023	465.72
16.11.2023	463.81
17.11.2023	468.25
